Date,WIKI/MMM,WIKI/AXP,WIKI/AAPL,WIKI/BA,WIKI/CAT,WIKI/CVX,WIKI/CSCO,WIKI/KO,WIKI/DD,WIKI/XOM,WIKI/GE,WIKI/GS,WIKI/HD,WIKI/INTC,WIKI/IBM,WIKI/JNJ,WIKI/JPM,WIKI/MCD,WIKI/MRK,WIKI/MSFT,WIKI/NKE,WIKI/PFE,WIKI/PG,WIKI/TRV,WIKI/UNH,WIKI/UTX,WIKI/VZ,WIKI/V,WIKI/WMT,WIKI/DIS
2005-04-04,62.67163448734067,42.937501683193,5.3513243708073,44.356154270673,32.772169073395,38.352543476652,14.995014090968,14.696519119951,34.021007451694,45.564582066612,23.417108704753,97.018451534225,28.415124563443,16.171846637867,70.685096754289,48.10673300649648,24.920038527234,21.700435423443,20.408897142412,18.615052356208203,8.693809516489,15.864223469754,38.300280951376,27.043639553468,43.976856676948,38.939017400951,22.845374673238137,,38.737730125573,24.552151446775
2005-04-05,62.501451772676106,42.870542616241,5.4555117520837,44.356154270673,32.826662204545,37.497721956551,15.122306230959,14.834730898508,34.250377718074,45.121332216335,23.589879654334,96.660095091621,28.654977896608,16.312900686169,70.098141234296,48.83562290053431,25.517765243464,21.854488207991,20.747998818009,18.799435871086036,8.7986435167488,16.45767880202,38.371338986537,26.853352193818,44.628534449467,38.903919638647,22.922273550118604,,38.94157165224,24.647147460111
2005-04-06,62.760425468904785,43.130009000681,5.5128148117857,44.432197737621,33.200848371773,38.520815429428,15.079875517629,14.78157252214,34.37180903557,45.752399799781,23.589879654334,98.329511690093,28.325179563506,16.256479066848,69.652055039102,48.69409088227454,25.59155866522,22.050555388326,20.653803908121,18.9530888001509,8.7562863449266,16.433206417184,38.342915772473,26.967524609608,44.678663508891,39.149603974777,22.989066632929024,,38.808290654035,24.53487944435
2005-04-07,63.01199991666979,43.3141464348,5.6730029104981,44.873249845919,33.269873004562,39.012169531533,15.40234893894,14.926872084213,34.769833909583,45.714836253147,23.775940676959,99.229772997122,28.032858313711,16.510376353792,69.213794917508,48.998384721533036,25.680110771328,22.036550589731,21.030583547673,19.28344259764036,8.7425202640845,16.45767880202,39.131659962751,27.089308519784,45.152610979814,39.648772149771,22.924326935286306,,38.337887130955,24.785323479509
2005-04-08,62.56064576038552,43.13837888405,5.6964450712853,44.561471631433,32.946547093074,38.157348011432,15.190195372288,14.919784300698,34.203154427937,45.083768669702,23.74936053087,98.705348934775,28.092821647002,16.425743924811,68.556404735116,48.57378866675373,25.458730506058,21.805471412908,20.930108977126,19.16052025438847,8.7160470316956,16.274135915752,38.726629162338,26.853352193818,44.842722248826,39.313393532197,22.70421196330107,,38.079165193262,24.526243443138
2005-04-11,62.501451772676106,42.954241449931,5.4594187788815,45.169819367015,32.757637571755,38.278503817431,15.266570656283,14.838274790266,33.987276530167,45.29412453085,23.802520823049,97.971155247489,28.287702480199,16.305847983754,67.46075443113,48.750703689578444,25.547282612166,21.567389836787,20.810795424601,19.183568193748197,8.7086345266268,16.188482568827,39.323516657684,26.7544027668,44.300416969597,39.375789554071,22.594154477308447,,38.032124840954,24.293071410404
2005-04-12,63.07859315284288,43.657311652931,5.5557921065622,44.447406431011,33.200848371773,37.517914590884,15.478724222935,15.001293811129,33.764652448092,45.399302461424,23.981936809152,97.682722013198,28.894831229774,16.376375007905,67.108581119135,48.57378866675373,25.857214983544,21.637413829764,21.231532688768,19.45246081961171,8.7213416781734,16.445442609602,39.451421120973,26.98274759838,44.295859782377,39.808661955824,22.78189960047233,,38.12620554557,24.301707411616
2005-04-13,62.316470561084195,43.590352585978,5.3448126594775,44.614702058296,32.187276132389,36.528475508563,15.275056798949,14.919784300698,32.847171382569,44.437675667603,23.682910165646,96.153151831352,28.407629146782,16.0942669113,66.185104434347,48.53840566218879,25.510385901288,21.861490607289,21.677388595571,19.237346718920897,8.4449611320341,16.690166457959,39.231141211976,26.510834946448,43.730768567046,39.406987565008,22.594154477308447,,38.079165193262,23.921723358272
2005-04-14,60.9550088437677,42.778473899181,4.8525272829467,44.226880376862,31.024756001197,36.191931603011,15.113820088293,14.909152625424,31.949928869962,44.137167294534,23.589879654334,94.824610873406,27.845472897175,15.861527731601,65.457279589556,49.00546132244603,25.229970898613,21.539380239597,21.840659772711,19.083693789856035,8.2607074346079,16.794174093511,39.081919338139,26.427108508202,42.796545186862,38.861022373608,22.587680507544178,,37.600921611465,23.861271349785
2005-04-15,59.83032307728886,42.452048447789,4.6037799101494,43.344776160267,30.319978171661,35.14191461769,14.596165385662,14.632729068309,31.403487941232,42.213913706891,23.756005567392,93.076530665582,27.065949564387,15.600577742242,60.025984511226,49.11161033614086,25.038108002045,21.217269871905,21.853219094029,18.791753224632796,8.033037636064,16.953244594943,38.939803267819,25.95519585627,42.504885204756,38.042074586507,22.108606744988066,,37.397080084797,23.636735318264
2005-04-18,56.16029583930528,42.627815998538,4.6389431513302,43.283941386709,30.363572676581,35.404418864021,14.443414817673,14.519324532057,31.841989921077,43.010260895524,23.922131480451,93.828205154946,27.530665397395,15.664052063978,59.986854143227,48.856852703273276,25.562041296518,21.077221885951,21.620871649638,18.937723507244414,8.0404501411329,16.885945536645,38.797687197498,26.023699305744,41.54787588847,38.295558425372,22.01149719852399,,37.538201141721,23.265387266132
2005-04-19,56.92241843106397,42.309760430515,4.8303874644255,44.173649949999,30.861276607748,35.902503844237,14.57919310033,15.026101053434,32.469385061472,44.047014782613,23.922131480451,93.251338686365,27.328289147537,15.960265565413,59.071203532038,48.86392930418626,25.790800903963,21.133241080333,21.777863166119,18.92235821433793,8.1992895354658,16.775819804884,38.605830502566,25.95519585627,42.472984894213,38.322856684942,22.115080714752338,,37.318679497617,23.446743291592
2005-04-20,56.16029583930528,41.874526495325,4.6246173864047,43.519676134247,31.98383510943,35.034220567914,14.587679242996,14.841818682024,31.875720842604,42.92762109293,23.603169727378,91.188604041132,26.683683314655,15.981423672658,56.355555992873,48.19165221745234,25.650593402626,20.965183497189,21.394803865907,18.68419617428739,8.0944555352061,16.372025455095,38.136847470508,25.658347575215,41.99448023607,38.623137540212,21.869069863710013,,37.122678029667,22.989035227336
2005-04-21,57.76593275592309,42.117253113027,4.8368991757552,44.926480272782,32.724941693066,35.862118575571,15.003500233634,14.930415975971,32.678516774936,44.535340888851,23.995226882197,92.613289410509,27.440720397458,16.482165544132,57.912944639253,48.22703522201729,25.886732352247,20.853145108426,21.570634364365,19.390999647985762,8.3231842630455,16.659575976914,38.67257767472,26.206375171008,42.122081478242,39.929554248206,22.179820412395056,,37.459800554541,23.895815354635
2005-04-22,57.01860866109176,41.690389061206,4.6233150441387,44.013958669408,32.776034498207,36.259240384122,14.791346666982,14.930415975971,32.449146508556,44.640518819425,23.988581845674,91.284748452563,26.998490814435,16.390480412735,58.077292184851,48.467639653058896,25.731766166558,21.049212288761,21.476439454477,19.19125084020144,8.2405877779924,16.653457880705,38.494000939983,26.22159815978,41.588890573454,39.605874884733,22.050341017109623,,36.699314858896,23.576283309777
2005-04-25,57.35157484195721,42.661295532015,4.8160616995,45.306697607521,33.257766660969,36.595784289673,14.833777380312,15.125330022655,32.772963355211,45.046205123068,24.1746428683,92.642761314656,27.13340831434,16.510376353792,58.390335128847,48.503022657623845,25.953146431828,21.203265073309,21.300608956019,19.19893348665468,8.2945931720656,16.537214052736,38.451142523646,26.44994299136,41.356474025213,39.8827572318,22.050341017109623,,36.863956091974,23.489923297653
2005-04-26,56.33047855396983,43.146748767419,4.7131766604896,44.865645499224,32.429333320462,36.090968431346,14.664054526991,15.224558991876,31.727304787887,44.527828179524,24.041742137853,92.625238568048,27.13340831434,16.446902032056,59.032073164039,48.13503941014843,25.886732352247,21.007197892975,21.099659814925,19.022232618230092,8.2183502627858,16.463796898229,38.122561331729,26.175929193464,41.042028107005,39.50058159782,22.01149719852399,,36.848275974538,23.144483249158
2005-04-27,56.67824323176263,43.607092352717,4.6819204461067,45.36753238108,32.133724947858,35.000566177359,14.638596098993,15.174944507265,31.34951846679,43.859197049445,24.187932941345,94.412558722029,27.005986231096,16.580903377943,60.299897087222,48.354414038451075,26.196664723625,21.119236281737,21.030583547673,19.19893348665468,8.2670610103812,16.469914994438,38.236850441961,26.83051771066,42.240568345972,39.613674387467,22.801321509765145,,37.075637677359,23.179027254008
2005-04-28,55.664546192238944,43.272297017955,4.6285244132025,44.65272379177,31.641044326852,34.428441537921,14.545248529666,15.128873914413,31.005463067219,42.071172229683,23.702845275213,93.072068606543,26.301417064923,16.35521690066,59.407724696834,47.88028177728084,25.842456299193,20.734104320366,21.218973367449,18.784070578179552,8.1463430706882,16.329198781632,38.565431633878,26.60217287908,42.149424601564,38.935117649584,22.691264023772526,,36.887476268128,22.367243140045
