date,open,high,low,close,volume,adj_close,ret
1950-06-30,17.690001000000002,17.690001000000002,17.690001000000002,17.690001000000002,2660000,17.690001000000002,-0.0028265685230883797
1950-07-03,17.639999,17.639999,17.639999,17.639999,1550000,17.639999,0.00963718875494246
1950-07-05,17.809998999999998,17.809998999999998,17.809998999999998,17.809998999999998,1400000,17.809998999999998,0.005614879596568256
1950-07-06,17.91,17.91,17.91,17.91,1570000,17.91,-0.01340033500837512
1950-07-07,17.67,17.67,17.67,17.67,1870000,17.67,-0.004527447651386685
1950-07-10,17.59,17.59,17.59,17.59,1960000,17.59,-0.015349630471859
1950-07-11,17.32,17.32,17.32,17.32,3250000,17.32,-0.025981466512701945
1950-07-12,16.870001000000002,16.870001000000002,16.870001000000002,16.870001000000002,3200000,16.870001000000002,-0.010669827464740544
1950-07-13,16.690001000000002,16.690001000000002,16.690001000000002,16.690001000000002,2660000,16.690001000000002,0.01078490049221692
1950-07-14,16.870001000000002,16.870001000000002,16.870001000000002,16.870001000000002,1900000,16.870001000000002,-0.011262654934045435
1950-07-17,16.68,16.68,16.68,16.68,1520000,16.68,0.022781714628297145
1950-07-18,17.059998999999998,17.059998999999998,17.059998999999998,17.059998999999998,1820000,17.059998999999998,0.017585112402410008
1950-07-19,17.360001,17.360001,17.360001,17.360001,2430000,17.360001,0.01440092082944
1950-07-20,17.610001,17.610001,17.610001,17.610001,3160000,17.610001,-0.0011357750632723373
1950-07-21,17.59,17.59,17.59,17.59,2810000,17.59,-0.006253553155201819
1950-07-24,17.48,17.48,17.48,17.48,2300000,17.48,-0.014302059496567487
1950-07-25,17.23,17.23,17.23,17.23,2770000,17.23,0.002321532211259303
1950-07-26,17.27,17.27,17.27,17.27,2460000,17.27,0.013317892298783995
1950-07-27,17.5,17.5,17.5,17.5,2300000,17.5,0.010857200000000233
1950-07-28,17.690001000000002,17.690001000000002,17.690001000000002,17.690001000000002,2050000,17.690001000000002,0.008479309865499607
1950-07-31,17.84,17.84,17.84,17.84,1590000,17.84,0.010089686098654793
