date,snp,djia,nasdaq,microsoft,apple,google,vix
2005-01-28,1171.359985,10427.200195,2035.829956,19.707203,4.754039,94.555008,13.24
2005-01-31,1181.27002,10489.94043,2062.409912,19.78248,4.941682,97.177948,12.82
2005-02-01,1189.410034,10551.94043,2068.699951,19.865288,4.982168,95.329971,12.03
2005-02-02,1193.189941,10596.790039,2075.060059,19.91798,5.117115,102.314545,11.66
2005-02-03,1189.890015,10593.099609,2057.639893,19.707203,5.00016,104.748711,11.79
2005-02-04,1203.030029,10716.129883,2086.659912,19.812588,5.06635,101.519714,11.21
2005-02-07,1201.719971,10715.759766,2082.030029,19.69215,5.072775,97.38163,11.73
2005-02-08,1202.300049,10724.629883,2086.679932,19.752365,5.198727,98.678192,11.6
2005-02-09,1191.98999,10664.110352,2052.550049,19.624403,5.059923,95.171005,12.0
2005-02-10,1197.01001,10749.610352,2053.100098,19.616871,5.035503,93.382637,11.51
2005-02-11,1205.300049,10796.009766,2076.659912,19.549128,5.218648,93.094513,11.43
2005-02-14,1206.140015,10791.129883,2082.909912,19.579239,5.438422,95.871452,11.52
2005-02-15,1210.119995,10837.320313,2089.209961,19.579239,5.681328,96.984215,11.27
2005-02-16,1210.339966,10834.879883,2087.429932,19.473532,5.791857,98.563934,11.1
2005-02-17,1200.75,10754.259766,2061.340088,19.367815,5.642772,98.310585,11.77
2005-02-18,1201.589966,10785.219727,2058.6201170000004,19.239452,5.578509,98.335426,11.18
2005-02-22,1184.160034,10611.200195,2030.319946,19.050684,5.480834,95.066681,13.14
2005-02-23,1190.800049,10673.790039,2031.25,19.02803,5.66976,96.348351,12.39
2005-02-24,1200.199951,10748.790039,2051.699951,19.156391,5.7147440000000005,93.834694,11.57
2005-02-25,1211.369995,10841.599609,2065.399902,19.065781,5.7186,92.33445,11.49
2005-02-28,1203.599976,10766.230469,2051.719971,18.997824,5.76551,93.387604,12.08
2005-03-01,1210.410034,10830.0,2071.25,19.088434,5.719243,92.428841,12.04
2005-03-02,1210.079956,10811.969727,2067.5,19.073332,5.670404,91.991684,12.5
2005-03-03,1210.469971,10833.030273,2058.399902,19.005377,5.370946,92.900772,12.93
2005-03-04,1222.119995,10940.549805,2070.610107,19.005377,5.502039,92.349358,11.94
2005-03-07,1225.310059,10936.860352,2090.209961,19.231901,5.494326,93.794952,12.26
2005-03-08,1219.430054,10912.620117,2073.550049,19.179043,5.209009,92.001617,12.4
2005-03-09,1207.01001,10805.620117,2061.290039,19.111086,5.057352,90.089058,12.7
2005-03-10,1209.25,10851.509766,2059.719971,19.201693,5.1190419999999985,89.408485,12.49
2005-03-11,1200.079956,10774.360352,2041.599976,18.944962,5.175592,88.32553100000001,12.8
2005-03-14,1206.829956,10804.509766,2051.040039,18.960066,5.182019,86.929604,12.39
2005-03-15,1197.75,10745.099609,2034.97998,18.809053,5.264273,88.727913,13.15
2005-03-16,1188.069946,10633.070313,2015.75,18.59763,5.292547,87.232635,13.49
2005-03-17,1190.209961,10626.349609,2016.420044,18.529675,5.430067,89.065712,13.29
2005-03-18,1189.650024,10629.669922,2007.790039,18.356005,5.521317,89.438293,13.14
2005-03-21,1183.780029,10565.389648,2007.51001,18.272943,5.6164239999999985,89.855576,13.61
